	coevSamp           = 10
	d                  = 10
	evals              = 10000
	k                  = 5
	l                  = 30
	lambda             = 50
	logfile            = ./log/default.txt
	mu                 = 100
	mutation           = 0.05
	p                  = 0.01
	parentSelection    = 1
	rerandmem          = 5
	runs               = 30
	seed               = 2905565739
	seedType           = 1
	solutionfile       = ./sln/default.txt
	survivalK          = 40
	survivalSelection  = 1
	survivalStrat      = 1
	termTest           = 0
	unchanged          = 200

Run 1
1900	2.754	2.915
1950	2.712	2.915
2000	2.732	2.915
2050	2.712	2.932
2100	2.758	2.932
2150	2.719	2.932
2200	2.731	2.932
2250	2.708	2.932
2300	2.718	2.932
2350	2.746	2.932
2400	2.776	2.932
2450	2.755	2.932
2500	2.766	2.932
2550	2.761	2.932
2600	2.765	2.932
2650	2.775	2.932
2700	2.790	2.945
2750	2.799	2.945
2800	2.778	2.945
2850	2.728	2.945
2900	2.699	2.945
2950	2.687	2.945
3000	2.695	2.945
3050	2.703	2.945
3100	2.740	2.946
3150	2.763	2.946
3200	2.750	2.946
3250	2.757	2.946
3300	2.731	2.946
3350	2.709	2.946
3400	2.758	2.946
3450	2.730	2.946
3500	2.731	2.946
3550	2.692	2.946
3600	2.710	2.946
3650	2.718	2.946
3700	2.762	2.952
3750	2.777	2.952
3800	2.777	2.952
3850	2.771	2.952
3900	2.743	2.952
3950	2.730	2.952
4000	2.719	2.952
4050	2.718	2.952
4100	2.751	2.952
4150	2.696	2.952
4200	2.640	2.952
4250	2.681	2.952
4300	2.676	2.952
4350	2.680	2.952
4400	2.708	2.952
4450	2.725	2.952
4500	2.762	2.952
4550	2.784	2.952
4600	2.778	2.952
4650	2.765	2.952
4700	2.738	2.952
4750	2.740	2.952
4800	2.733	2.953
4850	2.728	2.953
4900	2.703	2.953
4950	2.729	2.953
5000	2.725	2.953
5050	2.686	2.953
5100	2.663	2.953
5150	2.659	2.953
5200	2.692	2.953
5250	2.663	2.953
5300	2.633	2.953
5350	2.649	2.953
5400	2.588	2.953
5450	2.615	2.953
5500	2.595	2.953
5550	2.596	2.953
5600	2.537	2.953
5650	2.534	2.953
5700	2.548	2.953
5750	2.535	2.953
5800	2.522	2.953
5850	2.516	2.953
5900	2.545	2.953
5950	2.600	2.953
6000	2.590	2.953
6050	2.609	2.953
6100	2.611	2.953
6150	2.605	2.953
6200	2.601	2.953
6250	2.607	2.953
6300	2.598	2.953
6350	2.537	2.953
6400	2.587	2.953
6450	2.552	2.953
6500	2.592	2.953
6550	2.623	2.953
6600	2.581	2.953
6650	2.622	2.953
6700	2.580	2.953
6750	2.593	2.953
6800	2.634	2.953
6850	2.674	2.953
6900	2.676	2.953
6950	2.647	2.953
7000	2.656	2.953
7050	2.659	2.953
7100	2.682	2.953
7150	2.664	2.953
7200	2.652	2.953
7250	2.657	2.953
7300	2.631	2.953
7350	2.666	2.953
7400	2.673	2.953
7450	2.692	2.953
7500	2.714	2.953
7550	2.672	2.953
7600	2.688	2.953
7650	2.688	2.953
7700	2.631	2.953
7750	2.658	2.953
7800	2.678	2.953
7850	2.652	2.953
7900	2.656	2.953
7950	2.644	2.953
8000	2.652	2.953
8050	2.645	2.953
8100	2.646	2.953
8150	2.632	2.953
8200	2.611	2.953
8250	2.620	2.953
8300	2.649	2.953
8350	2.667	2.953
8400	2.659	2.953
8450	2.659	2.953
8500	2.666	2.953
8550	2.670	2.953
8600	2.662	2.953
8650	2.598	2.953
8700	2.634	2.953
8750	2.629	2.953
8800	2.658	2.953
8850	2.670	2.953
8900	2.666	2.953
8950	2.689	2.953
9000	2.693	2.953
9050	2.702	2.953
9100	2.703	2.953
9150	2.695	2.953
9200	2.710	2.953
9250	2.698	2.953
9300	2.667	2.953
9350	2.687	2.953
9400	2.651	2.953
9450	2.663	2.953
9500	2.637	2.953
9550	2.699	2.953
9600	2.683	2.953
9650	2.669	2.953
9700	2.677	2.953
9750	2.650	2.953
9800	2.688	2.953
9850	2.681	2.953
9900	2.663	2.953
9950	2.680	2.953
10000	2.648	2.953

Absolute Fitness
2.970

Run 7
150	-0.210	2.099
